1981,340.2
1982,341.4
1983,343
1984,344.6
1985,346
1986,347.6
1987,349.7
1988,351.8
1989,353.2
1990,354.5
1991,355.5
1992,356.2
1993,357.3
1994,358.9
1995,360.7
1996,362.2
1997,364.1
1998,366.5
1999,368.2
2000,369.6
2001,371.4
2002,373.7
2003,375.9
2004,377.8
2005,379.9
2006,381.8
2007,383.8
2008,385.9
2009,388.2
2010,390.5
